"","ramage","ramages","caquet","caquets","babil","babils","charivari","charivarys","charivary","charivaris","total"
"1751",34,8,10,1,22,NA,9,NA,1,NA,21142973
"1752",15,9,2,NA,9,1,13,NA,NA,NA,11016208
"1753",14,4,5,NA,17,NA,4,NA,NA,1,13457977
"1754",32,18,36,3,43,1,11,NA,1,2,18482846
"1755",20,6,31,5,35,NA,4,NA,2,NA,17518438
"1756",23,12,17,2,19,1,5,NA,NA,2,15955252
"1757",11,4,12,1,26,NA,NA,NA,NA,NA,19508037
"1758",36,7,33,6,22,NA,31,NA,NA,2,14775115
"1759",39,15,17,6,15,NA,9,NA,NA,NA,24487638
"1760",48,17,18,2,18,NA,8,NA,NA,NA,14333354
"1761",21,7,29,23,14,NA,2,NA,NA,NA,12367808
"1762",55,20,36,6,37,NA,19,NA,NA,NA,15371480
"1763",38,10,62,8,23,NA,12,NA,1,1,12998348
"1764",36,12,20,3,31,NA,4,NA,NA,2,12202952
"1765",13,6,3,8,5,NA,8,NA,NA,NA,10147736
"1766",4,5,9,NA,14,NA,1,NA,NA,NA,12990956
"1767",14,9,5,6,22,NA,8,NA,NA,16,16541017
"1768",36,6,15,10,21,NA,10,NA,NA,3,17422867
"1769",28,8,17,4,33,NA,7,NA,1,2,17224913
"1770",204,11,14,7,27,NA,16,NA,NA,7,24991301
"1771",36,9,22,3,35,NA,18,NA,NA,4,25710002
"1772",32,13,44,6,24,NA,24,NA,NA,NA,26250711
"1773",26,7,27,1,16,NA,4,NA,NA,1,13124455
"1774",30,2,25,1,18,NA,7,NA,NA,NA,14754165
"1775",79,5,13,13,24,NA,17,NA,NA,7,37468917
"1776",43,5,18,4,34,2,8,NA,NA,1,20926277
"1777",73,12,29,5,49,2,30,NA,2,13,36611548
"1778",93,31,26,5,43,NA,20,NA,NA,24,30589687
"1779",36,8,4,1,24,NA,6,NA,NA,NA,24379681
"1780",54,17,21,6,62,NA,18,NA,1,13,32144090
"1781",34,8,22,5,35,1,26,NA,NA,NA,22644399
"1782",74,30,24,5,42,NA,28,NA,NA,11,33112548
